image,mode,k,m,g,width,height,original_size_bytes,compressed_size_bytes,compression_rate,bpp,psnr_db,psnr_ok_30db,output_image
BDD/test_111.ppm,slicCC,1024.0,0.7,1.0,64,64,9207,5665,1.6252427184466018,11.064453125,25.7763,False,evaluation_results_auto/generated/test_111_slicCC_k1024_m0.7_g1_clean.ppm
BDD/test_112.ppm,SLIC,455.0,1.0,1.0,64,64,10544,8205,1.2850700792199878,16.025390625,28.4262,False,evaluation_results_auto/generated/test_112_SLIC_k455_m1_g1_clean.ppm
BDD/test_112.ppm,slicCC,1024.0,1.0,1.0,64,64,10544,6430,1.6398133748055987,12.55859375,24.2631,False,evaluation_results_auto/generated/test_112_slicCC_k1024_m1_g1_clean.ppm
BDD/test_113.ppm,SLIC,455.0,1.0,1.0,64,64,9318,6980,1.3349570200573067,13.6328125,29.9209,False,evaluation_results_auto/generated/test_113_SLIC_k455_m1_g1_clean.ppm
BDD/test_113.ppm,slicCC,1024.0,1.0,1.0,64,64,9318,5943,1.5678950025239777,11.607421875,25.0296,False,evaluation_results_auto/generated/test_113_slicCC_k1024_m1_g1_clean.ppm
BDD/test_114.ppm,SLIC,64.0,0.05,1.0,64,64,4975,3018,1.648442677269715,5.89453125,30.9088,True,evaluation_results_auto/generated/test_114_SLIC_k64_m0.05_g1_clean.ppm
BDD/test_114.ppm,slicCC,455.0,0.4,1.0,64,64,4975,3183,1.5629908890983348,6.216796875,31.102,True,evaluation_results_auto/generated/test_114_slicCC_k455_m0.4_g1_clean.ppm
BDD/test_115.ppm,SLIC,455.0,1.0,1.0,64,64,9788,7603,1.2873865579376562,14.849609375,28.9069,False,evaluation_results_auto/generated/test_115_SLIC_k455_m1_g1_clean.ppm
BDD/test_115.ppm,slicCC,1024.0,1.0,1.0,64,64,9788,5821,1.681498024394434,11.369140625,23.2908,False,evaluation_results_auto/generated/test_115_slicCC_k1024_m1_g1_clean.ppm
BDD/test_116.ppm,SLIC,256.0,0.3,1.0,64,64,7586,6142,1.23510257245197,11.99609375,31.886,True,evaluation_results_auto/generated/test_116_SLIC_k256_m0.3_g1_clean.ppm
BDD/test_116.ppm,slicCC,1024.0,0.4,1.0,64,64,7586,5222,1.4527001148985064,10.19921875,25.322,False,evaluation_results_auto/generated/test_116_slicCC_k1024_m0.4_g1_clean.ppm
BDD/test_117.ppm,SLIC,64.0,1.0,2.0,64,64,7346,4403,1.6684079037020214,8.599609375,32.4784,True,evaluation_results_auto/generated/test_117_SLIC_k64_m1_g2_clean.ppm
BDD/test_117.ppm,slicCC,1024.0,0.05,1.0,64,64,7346,5013,1.4653899860363055,9.791015625,31.5497,True,evaluation_results_auto/generated/test_117_slicCC_k1024_m0.05_g1_clean.ppm
BDD/test_118.ppm,SLIC,455.0,0.2,1.0,64,64,10224,8488,1.2045240339302545,16.578125,30.0597,True,evaluation_results_auto/generated/test_118_SLIC_k455_m0.2_g1_clean.ppm
BDD/test_118.ppm,slicCC,1024.0,0.7,1.0,64,64,10224,6255,1.6345323741007194,12.216796875,24.4261,False,evaluation_results_auto/generated/test_118_slicCC_k1024_m0.7_g1_clean.ppm
BDD/test_119.ppm,SLIC,455.0,0.4,1.0,64,64,11130,8371,1.3295902520606857,16.349609375,26.9647,False,evaluation_results_auto/generated/test_119_SLIC_k455_m0.4_g1_clean.ppm
BDD/test_119.ppm,slicCC,1024.0,0.05,1.0,64,64,11130,6533,1.703658349915812,12.759765625,22.6384,False,evaluation_results_auto/generated/test_119_slicCC_k1024_m0.05_g1_clean.ppm
BDD/test_12.ppm,SLIC,455.0,0.7,1.0,64,64,11006,8829,1.2465737909162986,17.244140625,28.8527,False,evaluation_results_auto/generated/test_12_SLIC_k455_m0.7_g1_clean.ppm
BDD/test_12.ppm,slicCC,1024.0,1.0,1.0,64,64,11006,6482,1.6979327368096266,12.66015625,22.8876,False,evaluation_results_auto/generated/test_12_slicCC_k1024_m1_g1_clean.ppm
BDD/test_120.ppm,SLIC,455.0,0.7,1.0,64,64,7376,5845,1.261933276304534,11.416015625,28.6329,False,evaluation_results_auto/generated/test_120_SLIC_k455_m0.7_g1_clean.ppm
BDD/test_120.ppm,slicCC,1024.0,1.0,1.0,64,64,7376,5073,1.4539720086733687,9.908203125,22.8748,False,evaluation_results_auto/generated/test_120_slicCC_k1024_m1_g1_clean.ppm
